Name,Short Abrivated Name,Strength_mg,Vial_mL,Diluent,Concentration,Dose Range,KB Dose Range,KB Frequency,KB Recon Example,KB Notes,KB Source
"PE-22-28","PE22",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"PEG MGF","PMGF",2,3,"0.8 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"Pinealon","PINE",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"Pinealon","PINE",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Pinealon","PINE",20,3,"2 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"PM: Gaba 100mg/ml Melatonin1mg/ml Arginine 100mg/m","PM",0,3,"—","—","—","","","","",""
"PT141","PT",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 2 mg as needed","as needed","","","https://www.peptidedosingprotocols.com/"
"PT-141","PT",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 2 mg as needed","as needed","","","https://www.peptidedosingprotocols.com/"
"RelaxatalonPM","RELAX",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Retatrutide","RETA",5,3,"0.5 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 12 mg/week","weekly","LemonGuy eg: 30 mg + 3 mL BAC → 1 mg = 10 u","Investigational; PDP quick chart 1–12 mg/week","https://thatlemonguy.org/ · https://www.peptidedosingprotocols.com/"
"Retatrutide","RETA",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 12 mg/week","weekly","LemonGuy eg: 30 mg + 3 mL BAC → 1 mg = 10 u","Investigational; PDP quick chart 1–12 mg/week","https://thatlemonguy.org/ · https://www.peptidedosingprotocols.com/"
"Retatrutide","RETA",12,3,"1.2 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 12 mg/week","weekly","LemonGuy eg: 30 mg + 3 mL BAC → 1 mg = 10 u","Investigational; PDP quick chart 1–12 mg/week","https://thatlemonguy.org/ · https://www.peptidedosingprotocols.com/"
"Retatrutide","RETA",15,3,"1.5 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 12 mg/week","weekly","LemonGuy eg: 30 mg + 3 mL BAC → 1 mg = 10 u","Investigational; PDP quick chart 1–12 mg/week","https://thatlemonguy.org/ · https://www.peptidedosingprotocols.com/"
"Retatrutide","RETA",20,3,"2 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 12 mg/week","weekly","LemonGuy eg: 30 mg + 3 mL BAC → 1 mg = 10 u","Investigational; PDP quick chart 1–12 mg/week","https://thatlemonguy.org/ · https://www.peptidedosingprotocols.com/"
"Retatrutide","RETA",30,3,"3 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 12 mg/week","weekly","LemonGuy eg: 30 mg + 3 mL BAC → 1 mg = 10 u","Investigational; PDP quick chart 1–12 mg/week","https://thatlemonguy.org/ · https://www.peptidedosingprotocols.com/"
"Retatrutide","RETA",40,3,"4 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 12 mg/week","weekly","LemonGuy eg: 30 mg + 3 mL BAC → 1 mg = 10 u","Investigational; PDP quick chart 1–12 mg/week","https://thatlemonguy.org/ · https://www.peptidedosingprotocols.com/"
"Retatrutide","RETA",50,3,"5 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 12 mg/week","weekly","LemonGuy eg: 30 mg + 3 mL BAC → 1 mg = 10 u","Investigational; PDP quick chart 1–12 mg/week","https://thatlemonguy.org/ · https://www.peptidedosingprotocols.com/"
"Retatrutide","RETA",60,3,"6 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 12 mg/week","weekly","LemonGuy eg: 30 mg + 3 mL BAC → 1 mg = 10 u","Investigational; PDP quick chart 1–12 mg/week","https://thatlemonguy.org/ · https://www.peptidedosingprotocols.com/"
"Retatrutide","RETA",100,3,"10 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 12 mg/week","weekly","LemonGuy eg: 30 mg + 3 mL BAC → 1 mg = 10 u","Investigational; PDP quick chart 1–12 mg/week","https://thatlemonguy.org/ · https://www.peptidedosingprotocols.com/"
"Selank","SELK",5,3,"1.67 mL","2.99 mg/mL","0.3 - 0.6 mg (10 - 20 u)","0.25 - 0.75 mg/day","daily","","","https://www.peptidedosingprotocols.com/"
"Selank","SELK",10,3,"3.33 mL","3 mg/mL","0.3 - 0.6 mg (10 - 20 u)","0.25 - 0.75 mg/day","daily","","","https://www.peptidedosingprotocols.com/"
"Selank+Semax","S+S",10,3,"3.33 mL","3 mg/mL","0.3 - 0.6 mg (10 - 20 u)","0.25 - 0.6 mg/day","daily","","Russian nootropic stack","https://www.peptidedosingprotocols.com/"
"Semaglutide","SEMA",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","0.25 - 2.4 mg/week","weekly","LemonGuy eg: 10 mg + 4 mL BAC → 250 mcg = 10 u","Wegovy titration 0.25→0.5→1→1.7→2.4; Ozempic to 2 mg","https://thatlemonguy.org/ · https://theglp1forum.com/drugs/wegovy"
"Semaglutide","SEMA",10,3,"4 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","0.25 - 2.4 mg/week","weekly","LemonGuy eg: 10 mg + 4 mL BAC → 250 mcg = 10 u","Wegovy titration 0.25→0.5→1→1.7→2.4; Ozempic to 2 mg","https://thatlemonguy.org/ · https://theglp1forum.com/drugs/wegovy"
"Semaglutide","SEMA",15,3,"6 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","0.25 - 2.4 mg/week","weekly","LemonGuy eg: 10 mg + 4 mL BAC → 250 mcg = 10 u","Wegovy titration 0.25→0.5→1→1.7→2.4; Ozempic to 2 mg","https://thatlemonguy.org/ · https://theglp1forum.com/drugs/wegovy"
"Semaglutide","SEMA",20,3,"8 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","0.25 - 2.4 mg/week","weekly","LemonGuy eg: 10 mg + 4 mL BAC → 250 mcg = 10 u","Wegovy titration 0.25→0.5→1→1.7→2.4; Ozempic to 2 mg","https://thatlemonguy.org/ · https://theglp1forum.com/drugs/wegovy"
"Semaglutide","SEMA",30,3,"12 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","0.25 - 2.4 mg/week","weekly","LemonGuy eg: 10 mg + 4 mL BAC → 250 mcg = 10 u","Wegovy titration 0.25→0.5→1→1.7→2.4; Ozempic to 2 mg","https://thatlemonguy.org/ · https://theglp1forum.com/drugs/wegovy"
"Semax","SEMX",5,3,"1.67 mL","2.99 mg/mL","0.3 - 0.6 mg (10 - 20 u)","0.2 - 0.6 mg/day","daily nasal/SubQ","","","https://www.peptidedosingprotocols.com/"
"Semax","SEMX",10,3,"3.33 mL","3 mg/mL","0.3 - 0.6 mg (10 - 20 u)","0.2 - 0.6 mg/day","daily nasal/SubQ","","","https://www.peptidedosingprotocols.com/"
"Sermorelin","SERM",5,3,"2.5 mL","2 mg/mL","0.2 - 0.4 mg (10 - 20 u)","0.2 - 0.5 mg/day","daily PM","","","https://www.peptidedosingprotocols.com/"
"Sermorelin","SERM",10,3,"5 mL","2 mg/mL","0.2 - 0.4 mg (10 - 20 u)","0.2 - 0.5 mg/day","daily PM","","","https://www.peptidedosingprotocols.com/"
"Sermorelin Acetate","SERM",2,3,"1 mL","2 mg/mL","0.2 - 0.4 mg (10 - 20 u)","0.2 - 0.5 mg/day","daily PM","","","https://www.peptidedosingprotocols.com/"
"Sermorelin Acetate","SERM",5,3,"2.5 mL","2 mg/mL","0.2 - 0.4 mg (10 - 20 u)","0.2 - 0.5 mg/day","daily PM","","","https://www.peptidedosingprotocols.com/"
"Sermorelin Acetate","SERM",10,3,"5 mL","2 mg/mL","0.2 - 0.4 mg (10 - 20 u)","0.2 - 0.5 mg/day","daily PM","","","https://www.peptidedosingprotocols.com/"
"SHB","SHB",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Slupp-322","SLU",5,3,"5 mL","1 mg/mL","0.1 - 0.2 mg (10 - 20 u)","0.1 - 0.3 mg/day","daily","","PDP SLU-PP-332","https://www.peptidedosingprotocols.com/"
"SLU-PP-332","SLU",5,3,"5 mL","1 mg/mL","0.1 - 0.2 mg (10 - 20 u)","0.1 - 0.3 mg/day","daily","","PDP SLU-PP-332","https://www.peptidedosingprotocols.com/"
"Snap8","SNAP8",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Snap-8","SNAP8",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"SS-31","SS31",10,3,"0.2 mL","50 mg/mL","5 - 10 mg (10 - 20 u)","4 - 40 mg/day","daily","","","https://www.peptidedosingprotocols.com/"
"SS-31","SS31",30,3,"0.6 mL","50 mg/mL","5 - 10 mg (10 - 20 u)","4 - 40 mg/day","daily","","","https://www.peptidedosingprotocols.com/"
"SS-31","SS31",50,3,"1 mL","50 mg/mL","5 - 10 mg (10 - 20 u)","4 - 40 mg/day","daily","","","https://www.peptidedosingprotocols.com/"
"Sterile water","H2O",0,3,"—","—","—","","","","",""
"Survodutide","SURV",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","~4.8 mg/week (open DB default)","weekly","","","open peptide-database"
"TB500","TB500",2,3,"0.1 mL","20 mg/mL","2 - 4 mg (10 - 20 u)","2 - 5 mg 2x/week","2x weekly","Common: 10 mg + 2 mL","PDP TB-500 chart","https://www.peptidedosingprotocols.com/"
"TB500","TB500",5,3,"0.25 mL","20 mg/mL","2 - 4 mg (10 - 20 u)","2 - 5 mg 2x/week","2x weekly","Common: 10 mg + 2 mL","PDP TB-500 chart","https://www.peptidedosingprotocols.com/"
"TB500","TB500",10,3,"0.5 mL","20 mg/mL","2 - 4 mg (10 - 20 u)","2 - 5 mg 2x/week","2x weekly","Common: 10 mg + 2 mL","PDP TB-500 chart","https://www.peptidedosingprotocols.com/"
"TB-500","TB500",10,3,"0.5 mL","20 mg/mL","2 - 4 mg (10 - 20 u)","2 - 5 mg 2x/week","2x weekly","Common: 10 mg + 2 mL","PDP TB-500 chart","https://www.peptidedosingprotocols.com/"
"TB500 (Thymosin Beta-4)","TB500",5,3,"0.25 mL","20 mg/mL","2 - 4 mg (10 - 20 u)","2 - 5 mg 2x/week","2x weekly","Common: 10 mg + 2 mL","PDP TB-500 chart","https://www.peptidedosingprotocols.com/"
"TB500 (Thymosin Beta-4)","TB500",10,3,"0.5 mL","20 mg/mL","2 - 4 mg (10 - 20 u)","2 - 5 mg 2x/week","2x weekly","Common: 10 mg + 2 mL","PDP TB-500 chart","https://www.peptidedosingprotocols.com/"
"Tesamorelin","TESA",2,3,"0.2 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 2 mg/day","daily","","","https://www.peptidedosingprotocols.com/"
"Tesamorelin","TESA",5,3,"0.5 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 2 mg/day","daily","","","https://www.peptidedosingprotocols.com/"
"Tesamorelin","TESA",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 2 mg/day","daily","","","https://www.peptidedosingprotocols.com/"
"Tesamorelin","TESA",20,3,"2 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 2 mg/day","daily","","","https://www.peptidedosingprotocols.com/"
"Tesamorelin / Ipamorelin","T/IPA",15,3,"1.5 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","1 - 2 mg/day","daily","","","https://www.peptidedosingprotocols.com/"
"Thymalin","THYM",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Thymalin/Thymulin","THYM",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Thymosin alpha 1","TA-1",5,3,"0.31 mL","16.13 mg/mL","1.6 - 3.2 mg (10 - 20 u)","1.6 mg 2x/week","2x weekly","","","https://www.peptidedosingprotocols.com/"
"Thymosin alpha 1","TA-1",10,3,"0.63 mL","15.87 mg/mL","1.6 - 3.2 mg (10 - 20 u)","1.6 mg 2x/week","2x weekly","","","https://www.peptidedosingprotocols.com/"
"Thymosin Alpha-1","TA-1",5,3,"0.31 mL","16.13 mg/mL","1.6 - 3.2 mg (10 - 20 u)","1.6 mg 2x/week","2x weekly","","","https://www.peptidedosingprotocols.com/"
"Thymosin Alpha-1","TA-1",10,3,"0.63 mL","15.87 mg/mL","1.6 - 3.2 mg (10 - 20 u)","1.6 mg 2x/week","2x weekly","","","https://www.peptidedosingprotocols.com/"
"Tirzepatide","TIRZ",5,3,"0.2 mL","25 mg/mL","2.5 - 5 mg (10 - 20 u)","2.5 - 15 mg/week","weekly","LemonGuy eg: 10 mg + 1 mL BAC → 1 mg = 10 u","Mounjaro/Zepbound: 2.5→5→7.5→10→12.5→15","https://thatlemonguy.org/ · https://theglp1forum.com/drugs/mounjaro"
"Tirzepatide","TIRZ",10,3,"1 mL","10 mg/mL","2.5 - 5 mg (10 - 20 u)","2.5 - 15 mg/week","weekly","LemonGuy eg: 10 mg + 1 mL BAC → 1 mg = 10 u","Mounjaro/Zepbound: 2.5→5→7.5→10→12.5→15","https://thatlemonguy.org/ · https://theglp1forum.com/drugs/mounjaro"
"Tirzepatide","TIRZ",15,3,"0.6 mL","25 mg/mL","2.5 - 5 mg (10 - 20 u)","2.5 - 15 mg/week","weekly","LemonGuy eg: 10 mg + 1 mL BAC → 1 mg = 10 u","Mounjaro/Zepbound: 2.5→5→7.5→10→12.5→15","https://thatlemonguy.org/ · https://theglp1forum.com/drugs/mounjaro"
"Tirzepatide","TIRZ",20,3,"0.8 mL","25 mg/mL","2.5 - 5 mg (10 - 20 u)","2.5 - 15 mg/week","weekly","LemonGuy eg: 10 mg + 1 mL BAC → 1 mg = 10 u","Mounjaro/Zepbound: 2.5→5→7.5→10→12.5→15","https://thatlemonguy.org/ · https://theglp1forum.com/drugs/mounjaro"
"Tirzepatide","TIRZ",30,3,"1.2 mL","25 mg/mL","2.5 - 5 mg (10 - 20 u)","2.5 - 15 mg/week","weekly","LemonGuy eg: 10 mg + 1 mL BAC → 1 mg = 10 u","Mounjaro/Zepbound: 2.5→5→7.5→10→12.5→15","https://thatlemonguy.org/ · https://theglp1forum.com/drugs/mounjaro"
"Tirzepatide","TIRZ",40,3,"1.6 mL","25 mg/mL","2.5 - 5 mg (10 - 20 u)","2.5 - 15 mg/week","weekly","LemonGuy eg: 10 mg + 1 mL BAC → 1 mg = 10 u","Mounjaro/Zepbound: 2.5→5→7.5→10→12.5→15","https://thatlemonguy.org/ · https://theglp1forum.com/drugs/mounjaro"
"Tirzepatide","TIRZ",50,3,"2 mL","25 mg/mL","2.5 - 5 mg (10 - 20 u)","2.5 - 15 mg/week","weekly","LemonGuy eg: 10 mg + 1 mL BAC → 1 mg = 10 u","Mounjaro/Zepbound: 2.5→5→7.5→10→12.5→15","https://thatlemonguy.org/ · https://theglp1forum.com/drugs/mounjaro"
"Tirzepatide","TIRZ",60,3,"2.4 mL","25 mg/mL","2.5 - 5 mg (10 - 20 u)","2.5 - 15 mg/week","weekly","LemonGuy eg: 10 mg + 1 mL BAC → 1 mg = 10 u","Mounjaro/Zepbound: 2.5→5→7.5→10→12.5→15","https://thatlemonguy.org/ · https://theglp1forum.com/drugs/mounjaro"
"Tirzepatide","TIRZ",100,3,"4 mL","25 mg/mL","2.5 - 5 mg (10 - 20 u)","2.5 - 15 mg/week","weekly","LemonGuy eg: 10 mg + 1 mL BAC → 1 mg = 10 u","Mounjaro/Zepbound: 2.5→5→7.5→10→12.5→15","https://thatlemonguy.org/ · https://theglp1forum.com/drugs/mounjaro"
"Triptorelln Acetate","TRIP",2,3,"0.8 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"Vesugen","VESU",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Vesugen","VESU",20,3,"2 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"VIP","VIP",5,3,"2 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"VIP","VIP",10,3,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"Vitamin B12","B12",10,10,"1 mL","10 mg/mL","1 - 2 mg (10 - 20 u)","","","","",""
"water","H2O",3,3,"—","—","—","","","","",""
"water","H2O",10,3,"—","—","—","","","","",""
"Wolverine","WOLV",10,3,"4 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"Wolverine","WOLV",20,3,"8 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
"Wolverine","WOLV",30,3,"12 mL","2.5 mg/mL","0.25 - 0.5 mg (10 - 20 u)","","","","",""
